"행정구역분류 총괄표",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010.4.1","행정구역명","2010.1.1","행정구역명","2009.10.1","행정구역명","2009.7.1","행정구역명","2009.4.1","행정구역명","2009.1.1","행정구역명","2008.10.1","행정구역명","2008.7.1","행정구역명","2008.4.1","행정구역명","2008.1.1","행정구역명","2007.10.1","행정구역명","2007.7.1","행정구역명","2007.4.1","행정구역명","2007.1.1","행정구역명","2006.10.1","행정구역명","2006.7.1","행정구역명","2006.4.1","행정구역명","2006.1.1","행정구역명","2005.10.1","행정구역명","2005.7.1","행정구역명","2005.4.1","행정구역명","2005.1.1","행정구역명","2004.10.1","행정구역명","2004.7.1","행정구역명","2004.4.1","행정구역명","2004.1.1","행정구역명","2003.10.1","행정구역명","2003.7.1","행정구역명","2003.4.1","행정구역명","2003.1.1","행정구역명",,"2002.12.31","행정구역명","2002.10.1","행정구역명","2002.7.1","행정구역명","2002.4.1","행정구역명","2002.1.1","행정구역명",,"2001.1. 1","행정구역명",,"2000.1. 1","행정구역명",,"99. 1. 1","행정구역명"
1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",,1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",1101071,"숭인2동",,1101071,"숭인2동",,1101071,"숭인2동",,1101071,"숭인2동"
11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",,11020,"중구",11020,"중구",11020,"중구",11020,"중구",11020,"중구",,11020,"중구",,11020,"중구",,11020,"중구"
1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",,1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",1102052,"소공동",,1102052,"소공동",,1102052,"소공동",,1102052,"소공동"
1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",,1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",1102054,"회현동",,1102054,"회현동",,1102054,"회현동",,1102054,"회현동"
1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",,1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",1102055,"명동",,1102055,"명동",,1102055,"명동",,1102055,"명동"
1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",,1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",1102057,"필동",,1102057,"필동",,1102057,"필동",,1102057,"필동"
1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",,1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",1102058,"장충동",,1102058,"장충동",,1102058,"장충동",,1102058,"장충동"
1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",,1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",1102059,"광희동",,1102059,"광희동",,1102059,"광희동",,1102059,"광희동"
1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",,1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",1102060,"을지로3·4·5가동",,1102060,"을지로3·4·5가동",,1102060,"을지로3·4·5가동",,1102060,"을지로3·4·5가동"
1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",,1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",1102061,"신당1동",,1102061,"신당1동",,1102061,"신당1동",,1102061,"신당1동"
