,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2010. 4. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년","2010년","2009년"
,"35 전라북도",14,14,6,6,8,8,2,2,241,244,14,14,145,145,82,85
,"36 전라남도",22,22,5,5,17,17,0,0,295,295,31,31,198,198,66,66
,"37 경상북도",23,23,10,10,13,13,2,2,338,338,36,36,202,202,100,100
,"38 경상남도",20,20,10,10,10,10,0,0,317,317,21,21,177,177,119,119
,"39 제주도",0,0,2,2,0,0,0,0,43,43,7,7,5,5,31,31
,"* 비자치구(일반시에 소속된 구)는 집계에서 제외하였으며 갯수는 기입되어 있음(파란색 아미부분)",,,,,,,,,,,,,,,,
,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2008. 1. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2008년","2007년","2008년","2007년","2008년","2007년","2008년","2007년","2008년","2007년","2008년","2007년","2008년","2007년","2008년","2007년"
,,"1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1","1. 1","10. 1"
,"총계",230,230,75,75,86,86,69,69,3554,3577,212,212,1197,1197,2145,2168
,"특별.광역시계",74,74,0,0,5,5,69,69,1231,1256,10,10,36,36,1185,1210
,"11 서울특별시",25,25,0,0,0,0,25,25,497,517,0,0,0,0,497,517
,"21 부산광역시",16,16,0,0,1,1,15,15,218,223,2,2,3,3,213,218
,"22 대구광역시",8,8,0,0,1,1,7,7,143,143,3,3,6,6,134,134
,"23 인천광역시",10,10,0,0,2,2,8,8,143,143,1,1,19,19,123,123
,"24 광주광역시",5,5,0,0,0,0,5,5,91,91,0,0,0,0,91,91
,"25 대전광역시",5,5,0,0,0,0,5,5,81,81,0,0,0,0,81,81
,"26 울산광역시",5,5,0,0,1,1,4,4,58,58,4,4,8,8,46,46
,"도계",156,156,75,75,81,81,26,26,2323,2321,202,202,1161,1161,960,958
,"31 경기도",31,31,27,27,4,4,20,20,532,531,31,31,108,108,393,392
,"32 강원도",18,18,7,7,11,11,0,0,188,188,24,24,90,90,74,74
,"33 충청북도",12,12,3,3,9,9,2,2,154,153,14,14,89,89,51,50
,"34 충청남도",16,16,7,7,9,9,0,0,212,212,24,24,147,147,41,41
,"35 전라북도",14,14,6,6,8,8,2,2,244,244,14,14,145,145,85,85
,"36 전라남도",22,22,5,5,17,17,0,0,295,295,31,31,198,198,66,66
,"37 경상북도",23,23,10,10,13,13,2,2,338,341,36,35,202,202,100,104
,"38 경상남도",20,20,10,10,10,10,0,0,317,314,21,22,177,177,119,115
,"39 제주도",0,0,2,2,0,0,0,0,43,43,7,7,5,5,31,31
,"* 비자치구(일반시에 소속된 구)는 집계에서 제외하였으며 갯수는 기입되어 있음(파란색 아미부분)",,,,,,,,,,,,,,,,
,,,,,,,"전국 행정구역 현황",,,,,,,,,,
,"    (2007. 10. 1 현재)",,,,,,,,,,,,,,,,
,,"계",,"시",,"군",,"구",,"계",,"읍",,"면",,"동",
,,"2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년","2007년"
,,"7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1","7. 1","10. 1"
,"총계",230,230,75,75,86,86,69,69,3581,3577,212,212,1197,1197,2172,2168
,"특별.광역시계",74,74,0,0,5,5,69,69,1257,1256,10,10,36,36,1211,1210
,"11 서울특별시",25,25,0,0,0,0,25,25,518,517,0,0,0,0,518,517
,"21 부산광역시",16,16,0,0,1,1,15,15,223,223,2,2,3,3,218,218
,"22 대구광역시",8,8,0,0,1,1,7,7,143,143,3,3,6,6,134,134
,"23 인천광역시",10,10,0,0,2,2,8,8,143,143,1,1,19,19,123,123
,"24 광주광역시",5,5,0,0,0,0,5,5,91,91,0,0,0,0,91,91
